taxonomy	SCD66	SCD67	SCD68	SCD69	SCD70	SCD73	SCD72	SCD82	SCD75	SCD76	SCD77	SCD83	SCD137	SCD79	SCD80	SCD84	SCD81	SCD106	SCD88	SCD91	SCD86	SCD138	SCD107	SCD90	SCD87	SCD92	SCD154	SCD93	SCD94	SCD139	SCD109	SCD129	SCD110	SCD97	SCD98	SCD99	SCD112	SCD100	SCD122	SCD101	SCD130	SCD103	SCD104	SCD140	SCD102	SCD105	SCD113	SCD145	SCD156	SCD141	SCD114	SCD115	SCD116	SCD111	SCD147	SCD142	SCD143	SCD117	SCD132	SCD124	SCD125	SCD126	SCD118	SCD119	SCD150	SCD157	SCD127	SCD133	SCD128	SCD136	SCD144	SCD151	SCD152	SCD153	CD001	CD002	CD003	CD004	CD005	CD006	CD007	CD008	CD009	CD010	CD011	CD012	CD013	CD014	CD015	CD016	CD017	CD018	CD019	CD020	CD021	CD022	CD023	CD024	CD025	CD026	CD028	CD029	CD030	CD031	CD032	CD033	CD034	CD035	CD036	CD037	CD038	CD039	CD040	CD041	CD042	CD043	CD044	CD045	CD046	CD047	CD048	CD049	CD050	CD051	CD052	CD053	CD054	CD055	CD056	CD057	CD059	CD060	CD061	CD062	CD063	CD064	CD065	CD066	CD067	CD068	CD069	CD070	CD071	CD072	CD073	CD074	CD075	CD076	CD078	CD079	CD080	CD081	CD082	CD083	CD084	CD085	CD086	CD087	CD088	CD089	CD090	CD091	CD092	CD093	CD094	CD095	CD096	CD097	CD098	CD099	CD100	CD101	CD102	CD103	CD105	CD106	CD107	CD108	CD109	CD112	CD113	CD114	CD115	CD116	CD118	CD119	CD120	CD121	CD122	CD123	CD124	CD125	CD126	CD127	CD128	CD129	CD130	CD131	CD132	CD133	CD134	CD135	CD136	CD137	CD138	CD139	CD140	CD141	CD142	CD143	CD144	CD145	CD146	CD147	CD151	CD153	CD154	CD155	CD156	CD157	CD158	CD159	CD161	CD162	CD163	CD164	CD167	CD168	CD169	CD171	CD172	CD173	CD174	CD175	CD180	CD181	CD182	CD183	CD184	ACC0147	ACC0163	ACC0048	ACC0102	ACC0034	ACC0138	ACC0096	ACC0049	MiRES012	ACC0080	ACC0032	ACC0108	ACC0097	MiRES005	ACC0265	ACC0110	ACC0192	ACC0013	ACC0114	ACC0136	MiRES011	ACC0169	MiRES003	ACC0135	ACC0066	MiRES009	MiREL020	MIRES007	ACC0009	ACC0031	MiRES004
k__Bacteria|p__Verrucomicrobia	0	0	0	0	0.90147	0	0.0193	0	0	0	0	0	0	0	0	0	3.42174	1.39653	0.79663	0	1.47149	0	0.13766	0	0	0	0	2.5e-4	0	0	0.02076	0	37.12643	2.22077	14.27983	0	0	0	5.80267	0	0	0.04866	0.67992	0.02063	0	0	0	0	0	0	0	4.29263	0	0	0	0	0	1.22922	0	0	25.51903	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.41271	0	0	0	0	0	0	0	0	0	0	0	2.46097	0	0	0	0	0	0	0	0	0	0	0	0	0	0.36239	0	0	0	0	8.68848	0	0	0	0	0	0	0.0587	6.3698	0	0	0	0	0	0	0	0	1.8e-4	0.01623	0	0	0	0	0	0	0	0	0	0	0	0	28.72352	1.30755	0	0	0	44.10653	0	0	0	0	0	0	0	0.46275	0	0	0.02213	0	0	0.00984	0	0	0	0.02945	0.02157	0.00403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03423	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00187	0	0	0	0	0.00911	0	0	0	0	0	0	0.00939	0	0.02391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04051	0	7.04109	0	0	0.02717	0	0	0	3.37652	0	0	0	0	0	0	0	0	0.08153	17.7285	0	0	0	0	0
k__Bacteria|p__Synergistetes	0	0	0	0	1.2e-4	0.00427	0	0	0	0	0	0.0476	0.02436	0.00955	0	0	0.04252	0	0.0161	0	0.48407	0.30746	0	0	0	0	1.61574	0	0	0	0	0	0	0	0	1.99554	0	0	0	0	0	0	0	0.00122	0	0	0	0	0	0	0	0.02415	0	0	0	0	0	2.06737	0	0	0	0	0	0	0	0	0	0.01744	0	0	0	0	0.02345	0	0	0.10183	7.77933	0	0	0	0	0	0	0	1.14495	0	0	0	0	0	0	0.09181	0	0.00203	0	0	0	0	0	0	0	7.2e-4	6.94772	0	5.8e-4	0	0	0	0	0.18166	0	0	0	0	0.00471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10899	0.01508	0.3096	0	0	0	0	0	0	0	0	0	0	0	0	0.93533	0	0	0.03803	0	0	0	0	0	0	0	0.0052	0	0	0	0	0	0	0	0.06182	0.05518	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08304	0.05878	0	0	0.01017	0	0	0	7.20234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00159	0	0	0
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	0	0	0	0	0.90147	0	0.0193	0	0	0	0	0	0	0	0	0	3.42174	1.39653	0.79663	0	1.47149	0	0.13766	0	0	0	0	2.5e-4	0	0	0.02076	0	37.12643	2.22077	14.27983	0	0	0	5.80267	0	0	0.04866	0.67992	0.02063	0	0	0	0	0	0	0	4.29263	0	0	0	0	0	1.22922	0	0	25.51903	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.41271	0	0	0	0	0	0	0	0	0	0	0	2.46097	0	0	0	0	0	0	0	0	0	0	0	0	0	0.36239	0	0	0	0	8.68848	0	0	0	0	0	0	0.0587	6.3698	0	0	0	0	0	0	0	0	1.8e-4	0.01623	0	0	0	0	0	0	0	0	0	0	0	0	28.72352	1.30755	0	0	0	44.10653	0	0	0	0	0	0	0	0.46275	0	0	0.02213	0	0	0.00984	0	0	0	0.02945	0.02157	0.00403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03423	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00187	0	0	0	0	0.00911	0	0	0	0	0	0	0.00939	0	0.02391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04051	0	7.04109	0	0	0.02717	0	0	0	3.37652	0	0	0	0	0	0	0	0	0.08153	17.7285	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__CFGB76796	0	0	0	0	0.18089	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	0	0	0	0	0.02967	0.00158	0	0.17291	0	0	0	0.05819	0.0297	0	0	0	0.07367	0	0.05572	0	3.1e-4	0	0	0	0	0	0	0	0	0	0	0.00319	0	0.0753	0	0.032	0	0	0	0	0.008	0	0.01427	0.08	0	0	0	0	0.04212	0	0	0	0	0.02337	0.12449	0	0.01963	0	0	0.02834	0.03351	0	0.05544	0	0.24453	0	0	0	0	0	0	0	0.04855	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04348	0	0	0	0.15819	0.00356	0	0	0.01113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB3012	0	0	0	0	0.01511	0	0.03829	0	0	0	0	0	0	0.00482	0	0	0	0	0	0	2.37516	0	0	0	0	0	2.77657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06776	0	1.62948	0.00524	0	0.02128	0	0	0	0	0	0	0	0	0	0	1.25259	0	0	0	0	0	0	0	0.55403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.00247	0	0.00465	0	0.66264	0	0	0.00388	0	0	0	0	0	0	0	0	0	0	0.50634	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB1227	0	0	0	0	0.01344	0	0	0.12517	0	0	0.01536	0	0.0364	0	0	0	0.00316	0	0.02841	0	0.06392	0	0	0	0	0	0	0	0	0	0	0	0	0.01393	0	0.30647	0	0	0	0	0.00605	0.03369	0.00393	0.01727	0	0	0	0	0.11115	0	0	0	0	0	0	0	0	0.00682	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0054	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02117	0.50557	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06879	0	0	0	0	0	0	0	0	0	0.01397	0	0	0	0	0.02815
k__Bacteria|p__Proteobacteria|c__CFGB3069	0	0	0	0	0.00305	0	0	0.10434	0	0	0.42994	0.22798	0	0	0	0	0.05018	0	0.00683	0	0.6509	0	0	0	0	0	0	0	0	0	0	0	0	0.15901	0	0.67434	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.50264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.16974
k__Bacteria|p__Synergistetes|c__Synergistia	0	0	0	0	1.2e-4	0.00427	0	0	0	0	0	0.0476	0.02436	0.00955	0	0	0.04252	0	0.0161	0	0.48407	0.30746	0	0	0	0	1.61574	0	0	0	0	0	0	0	0	1.99554	0	0	0	0	0	0	0	0.00122	0	0	0	0	0	0	0	0.02415	0	0	0	0	0	2.06737	0	0	0	0	0	0	0	0	0	0.01744	0	0	0	0	0.02345	0	0	0.10183	7.77933	0	0	0	0	0	0	0	1.14495	0	0	0	0	0	0	0.09181	0	0.00203	0	0	0	0	0	0	0	7.2e-4	6.94772	0	5.8e-4	0	0	0	0	0.18166	0	0	0	0	0.00471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10899	0.01508	0.3096	0	0	0	0	0	0	0	0	0	0	0	0	0.93533	0	0	0.03803	0	0	0	0	0	0	0	0.0052	0	0	0	0	0	0	0	0.06182	0.05518	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08304	0.05878	0	0	0.01017	0	0	0	7.20234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00159	0	0	0
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	0	0	0	0	0.90147	0	0.0193	0	0	0	0	0	0	0	0	0	3.42174	1.39653	0.79663	0	1.47149	0	0.13766	0	0	0	0	2.5e-4	0	0	0.02076	0	37.12643	2.22077	14.27983	0	0	0	5.80267	0	0	0.04866	0.67992	0.02063	0	0	0	0	0	0	0	4.29263	0	0	0	0	0	1.22922	0	0	25.51903	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.41271	0	0	0	0	0	0	0	0	0	0	0	2.46097	0	0	0	0	0	0	0	0	0	0	0	0	0	0.36239	0	0	0	0	8.68848	0	0	0	0	0	0	0.0587	6.3698	0	0	0	0	0	0	0	0	1.8e-4	0.01623	0	0	0	0	0	0	0	0	0	0	0	0	28.72352	1.30755	0	0	0	44.10653	0	0	0	0	0	0	0	0.46275	0	0	0.02213	0	0	0.00984	0	0	0	0.02945	0.02157	0.00403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03423	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00187	0	0	0	0	0.00911	0	0	0	0	0	0	0.00939	0	0.02391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04051	0	7.04109	0	0	0.02717	0	0	0	3.37652	0	0	0	0	0	0	0	0	0.08153	17.7285	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__CFGB76796|o__OFGB76796	0	0	0	0	0.18089	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	0	0	0	0	0.02753	0	0	0.05338	0	0	0	5.3e-4	0.0297	0	0	0	0.03865	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05836	0	0	0	0	0	0	0	0	0	0.02337	0.12449	0	0.01963	0	0	0	0	0	0.05544	0	0.24453	0	0	0	0	0	0	0	0.04855	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00356	0	0	0.01113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB3012|o__OFGB3012	0	0	0	0	0.01511	0	0.03829	0	0	0	0	0	0	0.00482	0	0	0	0	0	0	2.37516	0	0	0	0	0	2.77657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06776	0	1.62948	0.00524	0	0.02128	0	0	0	0	0	0	0	0	0	0	1.25259	0	0	0	0	0	0	0	0.55403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.00247	0	0.00465	0	0.66264	0	0	0.00388	0	0	0	0	0	0	0	0	0	0	0.50634	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB1227|o__OFGB1227	0	0	0	0	0.01344	0	0	0.12517	0	0	0.01536	0	0.0364	0	0	0	0.00316	0	0.02841	0	0.06392	0	0	0	0	0	0	0	0	0	0	0	0	0.01393	0	0.30647	0	0	0	0	0.00605	0.03369	0.00393	0.01727	0	0	0	0	0.11115	0	0	0	0	0	0	0	0	0.00682	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0054	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02117	0.50557	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06879	0	0	0	0	0	0	0	0	0	0.01397	0	0	0	0	0.02815
k__Bacteria|p__Proteobacteria|c__CFGB3069|o__OFGB3069	0	0	0	0	0.00305	0	0	0.10434	0	0	0.42994	0.22798	0	0	0	0	0.05018	0	0.00683	0	0.6509	0	0	0	0	0	0	0	0	0	0	0	0	0.15901	0	0.67434	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.50264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.16974
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales	0	0	0	0	0.00214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales	0	0	0	0	1.2e-4	0.00427	0	0	0	0	0	0.0476	0.02436	0.00955	0	0	0.04252	0	0.0161	0	0.48407	0.30746	0	0	0	0	1.61574	0	0	0	0	0	0	0	0	1.99554	0	0	0	0	0	0	0	0.00122	0	0	0	0	0	0	0	0.02415	0	0	0	0	0	2.06737	0	0	0	0	0	0	0	0	0	0.01744	0	0	0	0	0.02345	0	0	0.10183	7.77933	0	0	0	0	0	0	0	1.14495	0	0	0	0	0	0	0.09181	0	0.00203	0	0	0	0	0	0	0	7.2e-4	6.94772	0	5.8e-4	0	0	0	0	0.18166	0	0	0	0	0.00471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10899	0.01508	0.3096	0	0	0	0	0	0	0	0	0	0	0	0	0.93533	0	0	0.03803	0	0	0	0	0	0	0	0.0052	0	0	0	0	0	0	0	0.06182	0.05518	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08304	0.05878	0	0	0.01017	0	0	0	7.20234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00159	0	0	0
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae	0	0	0	0	0.90147	0	0.0193	0	0	0	0	0	0	0	0	0	3.42174	1.39653	0.79663	0	1.47149	0	0.13766	0	0	0	0	2.5e-4	0	0	0.02076	0	37.12643	2.22077	14.27983	0	0	0	5.80267	0	0	0.04866	0.67992	0.02063	0	0	0	0	0	0	0	4.29263	0	0	0	0	0	1.22922	0	0	25.51903	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.41271	0	0	0	0	0	0	0	0	0	0	0	2.46097	0	0	0	0	0	0	0	0	0	0	0	0	0	0.36239	0	0	0	0	8.68848	0	0	0	0	0	0	0.0587	6.3698	0	0	0	0	0	0	0	0	1.8e-4	0.01623	0	0	0	0	0	0	0	0	0	0	0	0	28.72352	1.30755	0	0	0	44.10653	0	0	0	0	0	0	0	0.46275	0	0	0.02213	0	0	0.00984	0	0	0	0.02945	0.02157	0.00403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03423	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00187	0	0	0	0	0.00911	0	0	0	0	0	0	0.00939	0	0.02391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04051	0	7.04109	0	0	0.02717	0	0	0	3.37652	0	0	0	0	0	0	0	0	0.08153	17.7285	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__CFGB76796|o__OFGB76796|f__FGB76796	0	0	0	0	0.18089	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
