Method,Optimal_Features,Optimal_AUC,AUC_Std,Reduction_Ratio
Lasso_Selection_LR_Eval,8,0.7785491662770765,0.08670651350396003,68.0
RF_Selection_Attention_Eval,12,0.7769997662459093,0.0303188070241082,52.0
RF_Selection_NN_Eval,12,0.7741101760947483,0.07250223342591602,52.0
Lasso_Selection_NN_Eval,25,0.76579865980988,0.06010635424140012,0.0
FClassif_Selection_NN_Eval,20,0.7635082593112046,0.0701845918749207,20.0
RF_Selection_LR_Eval,10,0.7631786660433224,0.08430540268288675,60.0
Lasso_Selection_Attention_Eval,20,0.7599435094280816,0.044898729683374404,20.0
FClassif_Selection_LR_Eval,14,0.7528872526102541,0.08755421782110509,44.0
FClassif_Selection_Attention_Eval,20,0.7518088670718405,0.06485667142763218,20.0
MutualInfo_Selection_NN_Eval,25,0.7439301854449119,0.07763934144753469,0.0
MutualInfo_Selection_LR_Eval,25,0.7414520024933771,0.07217431427883196,0.0
MutualInfo_Selection_Attention_Eval,25,0.7269693782141188,0.05519089986709402,0.0
Lasso_Selection_RF_Eval,18,0.7072265077138848,0.027928022582564785,28.000000000000004
FClassif_Selection_RF_Eval,16,0.6829371201496026,0.04110243501785175,36.0
MutualInfo_Selection_RF_Eval,18,0.6727725183107371,0.0680342350264135,28.000000000000004
RF_Selection_RF_Eval,25,0.6677421302789466,0.040684513952693416,0.0
