Method,Optimal_Features,Optimal_AUC,AUC_Std,Reduction_Ratio
Lasso_Selection_NN_Eval,20,0.8111122798815646,0.029226863475238354,37.5
Lasso_Selection_Attention_Eval,16,0.804946626149291,0.01687219670060179,50.0
FClassif_Selection_Attention_Eval,12,0.7964800529842605,0.04700768474733159,62.5
MutualInfo_Selection_NN_Eval,16,0.7942601683029452,0.05041615696125984,50.0
Lasso_Selection_LR_Eval,10,0.7905021817048465,0.015972351448793,68.75
MutualInfo_Selection_Attention_Eval,32,0.7883317749727288,0.027017615341425088,0.0
RF_Selection_Attention_Eval,18,0.7877244039270688,0.017643371304793615,43.75
RF_Selection_LR_Eval,20,0.7858345021037868,0.03270099426633383,37.5
MutualInfo_Selection_LR_Eval,18,0.7832008726819385,0.03582898312032019,43.75
FClassif_Selection_NN_Eval,32,0.7815342060152719,0.012298799294265023,0.0
FClassif_Selection_LR_Eval,14,0.7754394576905096,0.028590708894007676,56.25
RF_Selection_NN_Eval,32,0.7739469378214119,0.026720084003633317,0.0
Lasso_Selection_RF_Eval,14,0.7605602306373695,0.02829661035400458,56.25
RF_Selection_RF_Eval,12,0.7451285647498831,0.033735362885155024,62.5
FClassif_Selection_RF_Eval,28,0.7340663472027428,0.03698239388447874,12.5
MutualInfo_Selection_RF_Eval,18,0.7322333255415303,0.07450635295104187,43.75
