Method,Optimal_Features,Optimal_AUC,AUC_Std,Reduction_Ratio
Lasso_Selection_NN_Eval,12,0.8178334891693938,0.015795610179057885,62.5
RF_Selection_NN_Eval,22,0.8102489481065918,0.036022398093879755,31.25
RF_Selection_Attention_Eval,12,0.8094183419043166,0.03149691745820464,62.5
FClassif_Selection_NN_Eval,12,0.8089146018388655,0.04510445937495352,62.5
Lasso_Selection_LR_Eval,7,0.8028007635966963,0.0395491119053982,78.125
FClassif_Selection_Attention_Eval,7,0.7994292504285492,0.02555075508509369,78.125
Lasso_Selection_Attention_Eval,7,0.7994183419043166,0.03164571007572645,78.125
MutualInfo_Selection_LR_Eval,12,0.7897479351721989,0.040530276031292306,62.5
FClassif_Selection_LR_Eval,12,0.787925822035219,0.029487980116809753,62.5
MutualInfo_Selection_NN_Eval,12,0.785513090229079,0.0275623127576408,62.5
RF_Selection_LR_Eval,12,0.7840396602773883,0.01928058913894758,62.5
MutualInfo_Selection_Attention_Eval,17,0.7801425899953248,0.043434702979711845,46.875
FClassif_Selection_RF_Eval,12,0.7442979585476078,0.031033098271709213,62.5
RF_Selection_RF_Eval,12,0.7331077606358111,0.019704182190100967,62.5
Lasso_Selection_RF_Eval,12,0.7264233676172667,0.009049817906770284,62.5
MutualInfo_Selection_RF_Eval,22,0.7141793283465795,0.027743436652153574,31.25
