,mean,std,cv
Romboutsia_timonensis,0.06630402719720277,0.0036807644287828625,0.05551343688122381
Granulicatella_adiacens,0.054582161900595574,0.003097092801857954,0.05674184924185203
Faecalibacterium_prausnitzii,0.05435698953012976,0.001861612947132259,0.0342479037787841
Streptococcus_anginosus,0.053828322900602424,0.002873970159222759,0.05339141188793372
Faecalimonas_umbilicata,0.05278285658065722,0.002043440961765307,0.038714103293040515
Parabacteroides_distasonis,0.05239075235985563,0.002290443246650298,0.04371846449002989
Haemophilus_parainfluenzae,0.05165216805167533,0.0023044049124167653,0.0446139048821983
Escherichia_coli,0.051283800468674666,0.0021241829086770607,0.04142015391340899
Flavonifractor_plautii,0.05076834057510471,0.0015349331969518106,0.030234062795121107
Gemella_morbillorum,0.049438868251359964,0.002104321649008367,0.04256411450014294
Agathobaculum_butyriciproducens,0.04938128216167109,0.002329828122679341,0.04718038942471433
Candidatus_Cibionibacter_quicibialis,0.04844162813485843,0.001903866392575496,0.03930227917350863
GGB9719_SGB15272,0.04768580223194717,0.0021484238199615062,0.045053741772266266
Roseburia_faecis,0.047425348925285826,0.00195856925983153,0.04129794095805329
Phocaeicola_dorei,0.04704724129777564,0.0020559618822110874,0.04369994553343326
Bifidobacterium_adolescentis,0.04590702517182869,0.0020259536657293753,0.044131669567921
Merdimonas_faecis,0.04550893105849461,0.0020546027395871727,0.045147242349997244
Blautia_massiliensis,0.04432624539910385,0.0020608435679151907,0.04649262641940017
Eubacterium_rectale,0.04388273294989902,0.0019420749342389792,0.04425601606117488
Lactobacillus_gasseri,0.04300547485327765,0.0028628911667702497,0.06657038845722814
